,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格
293,逢甲小窩 ,逢甲,8.9,97,866
294,台中威尼斯汽車旅館 ,逢甲,8.5,395,3586
295,first love home ,逢甲,4.1,7,799
296,高美大有貨櫃民宿 ,清水區,7.9,226,1238
297,逢甲AS House ,逢甲,8.7,421,857
298,lover hommee,逢甲,6.8,1,870
299,綠葉 home ,逢甲,7.0,55,779
300,逢甲嘟嘟房 ,逢甲,8.9,494,952
301,逢甲菓子宿,西屯區,8.1,124,952
302,熊蓋讚,北區,9.3,21,1143
303,love journey,逢甲,6.5,4,1504
304,浪琴Motel文創旅館,西區,8.4,382,2898
305,北區公寓套房 - 20平方公尺/1間專用衛浴 ,北區,4.4,10,631
306,逢甲沐馨 ,逢甲,8.3,14,848
307,頂緻小趣窩,逢甲,8.0,45,857
308,希臘地中海旅館 ,逢甲,7.6,175,1039
309,托托海民宿 ,北區,9.1,87,1645
310,逢甲捕夢網 ,逢甲,7.6,863,987
311,高美607驛站・民宿 ,清水區,no info,no info,1481
312,play in fengjia,逢甲,8.0,36,838
313,星光山悅景觀民宿,東勢區,7.6,1,1773
314,逢甲 may House,逢甲,8.7,407,905
315,fengjia moonwalk,逢甲,8.1,62,775
316,17逢甲住宿 ,逢甲,7.9,38,1126
317,山沐斯達民宿 ,新社區,8.6,50,3117
318,中區的1臥室獨棟住宅 - 30平方公尺/1間專用衛浴 ,中區,7.6,11,1999
319,逢甲繞起來,逢甲,7.7,24,850
320,台中之星 精品館 ,逢甲,7.9,38,3426
321,印象西湖汽車旅館 ,大里區,7.7,49,1714
322,台中拓程商旅 ,逢甲,8.5,1433,4303
323,Greg,中區,no info,no info,785
324,一中采舍,北區,8.8,178,1333
325,雅典娜的盼望,逢甲,8.0,112,1571
326,微笑家民宿 ,太平區,9.1,21,1217
327,北區的1臥室公寓 - 7平方公尺/1間專用衛浴 ,北區,7.3,12,1607
328,逢甲Jumbo ,逢甲,8.6,154,848
329,北區的1臥室公寓 - 15平方公尺/1間專用衛浴 ,西屯區,9.8,2,1628
330,來去逢甲住一晚,逢甲,8.2,28,853
331,北區公寓套房 - 20平方公尺/1間專用衛浴 ,北區,7.6,2,867
332,議蘆會館 ,霧峰區,8.6,501,1399
333,星夜逢甲,逢甲,8.1,29,853
334,逢甲不YA城,逢甲,7.9,23,876
335,逢甲21團體王 ,逢甲,8.8,212,783
336,Smile在一中,北區,7.6,17,771
337,西屯區的2臥室公寓 - 25平方公尺/1間專用衛浴 ,西屯區,8.8,5,1153
338,昭月民宿 ,東勢區,8.8,225,2165
339,大雅區的1臥室獨棟住宅 - 50平方公尺/1間專用衛浴 ,大雅區,9.2,2,1999
340,一中街藻宿,北區,8.4,139,1143
341,享樂旅宿逢甲館 ,逢甲,8.4,69,857
342,久窩行旅一中館 ,北區,9.0,428,2973
343,逢甲趣窩,逢甲,8.4,52,844
344,大雅區的1臥室獨棟住宅 - 50平方公尺/1間專用衛浴 ,大雅區,9.7,3,1999
