,旅店名稱,鄰近地區,旅客評分,旅客評鑑數目,旅店當天價格,lat,log
354,想住就住民宿,九份,9.2,35.0,1818,25.1100805,121.8454923
355,溪隱之宿,平溪區,8.6,13.0,2165,25.0250422,121.7378541
356,尚印2館,中山區,8.5,86.0,2196,25.0573631,121.5230488
357,怡美賓館,金山區,6.7,162.0,1039,25.2208659,121.6412429
358,少爺時尚旅館,汐止區,7.7,252.0,1818,25.0586755,121.662115
359,迪樂商旅,大同區,6.9,723.0,1465,25.0528652,121.5119681
360,西門大飯店 - B館,西門町,7.9,1071.0,346,25.045564,121.508804
361,曲水會館,北投區,8.0,3.0,4571,25.1364634,121.5120578
362,悅喜商務飯店,板橋區,7.7,572.0,1945,25.0085193,121.4581172
363,欣欣時尚旅店 - 松山館,松山區,7.5,1419.0,1873,25.0503697,121.5703383
364,琚九屋,九份,8.7,392.0,1259,25.1091685,121.8439923
365,輕便露民宿,九份,8.8,103.0,2320,25.11061,121.845314
366,力歐時尚旅店 - 西門館,西門町,7.2,1406.0,1629,25.0436132,121.5040761
367,東驛商務旅館,西門町,7.7,2729.0,1617,25.044623,121.505864
368,謙匯普樂室行旅 - 世貿信義館,信義區,8.0,2148.0,2790,25.03327,121.5731182
369,九份高媽媽民宿,九份,9.1,519.0,1212,25.1098652,121.8457151
370,三和旅舍,三重區,7.6,229.0,823,25.067649,121.5006476
371,力歐時尚旅館站前館,西門町,6.9,1490.0,1343,25.044956,121.5075057
372,臺北天禾旅店,西門町,8.0,7153.0,1919,25.042657,121.5079953
373,千慧商務旅館,大同區,8.2,632.0,1385,25.0525722,121.5200944
374,極品旅館,新莊區,6.0,253.0,1109,25.03261,121.442574
375,我們的家187,九份,9.0,184.0,2494,25.1123778,121.8511417
376,101景觀2-7人房,大同區,,,1404,25.0645027,121.5133148
377,泊居旅店,中山區,8.0,1929.0,2016,25.052816,121.5250085
378,淡築憩水民宿,淡水區,8.3,89.0,1190,25.1717472,121.44615
379,T.O. Hotel 承德館,大同區,8.2,962.0,1533,25.0557321,121.5179825
380,途中九份國際青年旅舍,九份,8.7,1133.0,1716,25.1090724,121.8456077
381,雅都旅社,板橋區,5.8,248.0,1109,25.0079389,121.4560053
382,水都温泉會館,北投區,6.8,1492.0,2940,25.1365721,121.5080476
383,井上天花,九份,9.1,519.0,1039,25.1068232,121.8101336
384,九份望琴海民宿,九份,8.2,64.0,2091,25.1075033,121.8462924
385,Gugis Inn,西門町,7.5,307.0,1003,25.042735,121.5079902
386,大新商旅,中山區,7.7,514.0,1157,25.054569,121.538343
387,九份晴悅民宿,九份,8.4,525.0,1097,25.1098691,121.8455786
388,淡水愛遛遛民宿,淡水區,9.3,367.0,1565,25.1710775,121.4460065
389,淡水民宿-台北yes,淡水區,8.6,622.0,1558,25.1711226,121.4440044
390,宰相民宿,淡水區,7.7,258.0,1299,25.1715621,121.4455899
391,嘉家旅店,永和區,7.2,297.0,935,25.0075631,121.5172872
392,欣欣時尚旅店 - 西門館,西門町,7.6,674.0,1253,25.0470643,121.5058136
393,愛摩兒時尚旅舘,永和區,8.2,121.0,4113,25.0076959,121.5023643
394,日野苑,中正區,10.0,4.0,1563,25.054569,121.538343
395,三才靈芝農場民宿,石碇區,6.9,41.0,1481,25.013356,121.675031
396,旅行邦尼青年旅店,淡水區,8.7,683.0,2338,25.1710775,121.4460065
397,雪瓈花園汽車旅館,土城區,7.3,101.0,1368,24.9710831,121.437013
398,橙舍青旅 - 台北一館,西門町,7.7,1344.0,1063,25.0456904,121.5071045
399,利成同志精品旅館,松山區,8.2,734.0,1457,25.0511246,121.5681608
400,Happiness Bubble,淡水區,9.7,3.0,2234,25.0470643,121.5058136
401,忠孝敦化民宿,大安區,7.1,133.0,1589,25.0431007,121.5528064
402,九份緣憶民宿,九份,7.3,508.0,1096,25.1087772,121.845942
403,玩客棧Player Hostel,中山區,8.4,1197.0,833,25.052306,121.528452
404,Cama,文山區,9.2,4.0,1320,25.0143844,121.5379552
405,Place Inn Taipei,中山區,8.6,564.0,1684,25.0611284,121.5301432
406,甜蜜蜜旅館,板橋區,5.8,225.0,1219,25.0031998,121.4543511
407,金弘旅店,大同區,7.6,752.0,1164,25.0539034,121.5130144
408,喜園旅店,西門町,8.4,20.0,746,25.0446847,121.5086082
409,利未莊園民宿,九份,8.5,149.0,2597,25.1140547,121.853908
410,名爵汽車旅館,三重區,8.0,232.0,1524,25.0648205,121.4972706
411,探索汽車旅館 - 南港館,南港區,7.0,1653.0,2820,25.0555204,121.597128
412,慕朵微風汽車旅館,樹林區,7.9,73.0,1714,25.0143844,121.5379552
413,富粧商務旅店,西門町,7.5,796.0,1313,25.0458645,121.5031452
414,BlackRock Fashion Apartments,淡水區,6.0,36.0,685,25.1083347,121.4943045
415,九份愛琴海民宿,九份,8.4,340.0,1558,25.1095696,121.8438394
416,趣西門旅店,西門町,7.8,158.0,1732,25.044807,121.5062111
417,肯特商務飯店,三重區,7.8,413.0,1465,25.0511989,121.489017
418,豪贊旅店,西門町,7.8,589.0,1732,25.0470643,121.5058136
419,Goodscompany,西門町,7.6,373.0,1131,25.0447352,121.5062547
420,瑪奇文旅,文山區,8.4,1724.0,1507,24.9926576,121.54187
421,金色年代,板橋區,8.0,40.0,1531,25.0066034,121.4615867
422,106民宿,瑞芳區,9.1,140.0,1357,25.1098071,121.7929597
423,古山園旅社,萬華區,7.6,330.0,1039,25.0370761,121.4979554
424,美術行館民宿,三芝區,8.1,113.0,1732,25.2585922,121.5100866
425,美好時光民宿,九份,8.5,93.0,3577,25.107209,121.844947
426,九份岑品民宿,九份,9.0,433.0,2137,25.1082424,121.8459315
427,慶城商旅,三重區,7.0,399.0,1195,25.060497,121.4981532
428,小王子甜蜜會館,西門町,7.3,315.0,1565,25.0442343,121.5072709
429,花宅伍㭍民宿,九份,8.4,62.0,1801,25.1112344,121.8448328
430,億苑旅店,板橋區,7.3,1693.0,2292,25.009997,121.456428
431,A-HOME,九份,8.4,850.0,1543,25.10737,121.843875
432,九份柳園民宿,九份,8.6,989.0,2286,25.106866,121.841638
433,波麗士河堤景觀民宿,九份,8.6,362.0,1974,25.1072038,121.8110763
434,九份山嶼海親子民宿,九份,8.7,224.0,2251,25.1111923,121.8448644
435,愛九份民宿,九份,7.3,100.0,696,25.1093167,121.8447174
